,25%,50%,75%
RandomForest,0.798650858,0.845152994,0.953246789
DecisionTree,0.475016995,0.628105528,0.751383595
SVM,0.360705836,0.464317574,0.575484893
Which,0.284202711,0.384009381,0.521658763
NaiveBayesian,0.153016999,0.231802264,0.271694112
