,25%,50%,75%
RandomForest,0.55675341,0.854724088,0.969898613
DecisionTree,0.541300415,0.613334042,0.752871658
SVM,0.357244246,0.438022192,0.55856955
Which,0.218008968,0.402546182,0.459646473
NaiveBayesian,0.145987441,0.209643158,0.270335686
